maori word,use instead of,related term,broader term
Toetoe ūpokotangata," Toetoe pākau; Toetoe whatuimenu; Giant umbrella sedges; Sedges, Giant umbrella", , Toetoe
Toheroa, , , Ngā uri o Tangaroa
Tohi mātaitai, Gathering shellfish; Shellfish gathering, Kākahi, Mahinga ika tūturu
Tohitū whakanao, Factories, , Hua
Tohorā," Sperm whales; Whales, Sperm", , Wēra
Tohu," Paraihe; Awards; Certifications (Awards); Emblems; Guidance, Spiritual; Headstones; Insignia; Medals; Omens; Spiritual guidance; Titles (Awards)", , Mana tangata
Tohu mārie," Omens, Good", , Tikanga tuku iho
Tohu mātauranga, Qualifications, , Mātauranga + Tohu + Whare wānanga
Tohu oro tāpara," Double vowels; Vowels, Double", , Mātauranga wetereo
Tohu putanga, Tohumate; Symptoms, , Mate
Tohunga, Experts; Priests (Traditional); Teachers (Traditional), Ako; Ao wairua; Atua; Kaiako; Kaihoahoa whare; Mātauranga; Matenga; Tapu; Tikanga tuku iho; Tūāhu; Whare wānanga, Māramatanga + Tāngata whenua
Tohunga ahurewa, , , Tohunga
Tohunga kēhua, Exorcists, Hauora wairua, Tohunga
Tohunga kōkōrangi," Navigators, Star; Star navigators", Waka; Whānau mārama, Tohunga
Tohunga mākutu, Sorcerer, Mākutu; Utu, Tohunga
Tohunga matakite," Poropito Māori; Tohunga matatuhi; Māori prophets; Prophets, Māori", , Tohunga
Tohunga tā moko," Master tattooists; Tattooists, Master", Tā moko (Tā ngira); Tā moko (Uhi), Hunga mahi toi + Tohunga
Tohunga whakairo," Carvers, Master; Master carvers", Whakairo, Hunga mahi toi + Tohunga
Tohutohu whaiara, Pukapuka taki; Pūrongo tohutohu; Rārangi ingoa; Directories, , Tuhinga kōrero
Toi Māori," Arts, Traditional; Traditional arts", , Mahi toi
Toi moko," Māhunga pakipaki; Mokamōkai; Moko mai; Mokomōkai; Ūpoko tuhi; Ūpoko whakairo; Ancestral Heads; Heads, Ancestral; Heads, Preserved; Preserved heads", Ritenga; Tā moko (Uhi); Tāngata, Pūtaiao
Toi whakaari, Acting (Performances); Dance (Contemporary); Drama (Contemporary); Film (Performances); Performances; Performing arts (Contemporary); Radio (Performances); Television (Performances); Theatre (Contemporary), Kiriata; Pouaka whakaata; Reo irirangi, Waka toi
Toka-ā-nuku, Tātai aro whenua; Geology, Hāereere ana; Kōhatu, Pūtaiao
Tōkere," Instruments, Percussion; Percussion instruments", Hinemoana; Tumutumu, Taonga pūoro
Toki, Adzes; Hoes, , Pakanga + Taputapu ahu whenua + Whakairo
Toko i te ora," Social welfare; Social work; Welfare, Social; Work, Social", Manaaki tangata; Manaakitanga, Āhuatanga pāpori + Hauora whānau
Tokomatua, Groups, Rōpū Māori, Āhuatanga pāpori
Tokoriro," Cave wētā; Wētā, Cave", , Aitanga pepeke
Tokotoko, Fighting staffs, , Rākau ā Tū
Tokotū, Masts, , Waka
Tonga, South wind, , Hau
Tongi, Quotations, , Whakatauākī
Tono, , , Karakia
Topuni," Cloaks, Dogskin; Dogskin cloaks", , Kahu kuri
Tōrangapū, Politics, Kerēme (Tiriti o Waitangi); Mātauranga tōrangapū; Mautohe,
Tōrea," Oystercatchers, Pied; Pied oystercatchers", , Manu ki tātahi
Tōrea pango," Black oystercatchers; Oystercatchers, Black", , Manu ki tātahi
Tōrehi, Bait bag; Bait net, , Kupenga
Tōriwha, , Maramataka; Rona, Marama
Toroa ingoingo," Albatrosses, Royal; Royal albatrosses", , Manu moana
Toroa pango," Kōputu; Albatrosses, Sooty; Sooty albatrosses", , Manu moana
Toroī," Fermented foods; Foods, Fermented", Kai whakamara, Rokiroki kai
Tōtara, Amoka, , Rākau whakakake
Tōtara kōtukutuku, Halls tōtara; Thinbarked tōtara, , Rākau whakakake
Toutouwai, Robins, , Manu ngahere
Tōwai, , , Rākau whakaruruhau
Tua taipūwhenuatanga, Post-colonialism, Taipūwhenuatanga, Mana motuhake
Tūāhu, , Tohunga, Wāhi tapu
Tuakana-teina, Role models, , Whānau
Tuakiri, Tuakiritanga; Identity, Hōkakatanga; Mana ake; Pākehā; Takatāpui; Tāngata; Tikanga rua; Tūrangawaewae, Whakapapa
Tuakoka, Pōhara; Rawakore; Poverty, , Āhuatanga pāpori
Tuanui, Roofs, , Whare whakairo
Tuaroria," Bird lures; Instruments, Leaf; Leaf instruments; Lures, Bird", Karanga manu; Karanga weka; Pūpū harakeke (Taonga pūoro); Pūpū kauri; Tānemāhuta; Tānetuarōria (Taonga pūoro), Taonga pūoro
Tuatara, , , Ngārara
Tuatua, , , Ngā uri o Tangaroa
Tūāwhiotanga whanonga ā-hinengaro, Autism, , Tahumaero
Tuhinga auaha," Tuhinga totoko; Creative writing; Poetry; Writing, Creative", Pūrākau, Kōrero
Tuhinga kōrero, Literature, Papakupu, Kōrero
Tuhinga nā te hunga tamariki," Children's writings; Writings, Children's", , Tuhinga kōrero
Tuhinga tawhito, Manuscripts, , Tuhinga kōrero
Tuhinga whakapae, Dissertations; Theses, , Rangahau + Tuhinga kōrero
Tūhua, Black obsidian, Rūaumoko, Kōhatu
Tūhura, Hōpara; Discovery; Exploration, , Haerenga + Rangahau
Tūi," Kōkō; Kōpūrehe; Birds, Parson; Parson birds", , Manu ngahere
Tūkinotanga, Violence, , Mate rerekē
Tūkinotanga ā-taiao," Environmental pollution; Pollution, Environmental", , Taiao
Tūkinotanga ā-whānau," Domestic violence; Family violence; Violence, Domestic; Violence, Family", , Tūkinotanga
Tūkōrehu, , , Otaota
Tuku awhikiri, Immunisation, Hauora whānau, Hauora tinana
Tuku ratonga, Services delivery, Ōhanga; Ratonga ahi; Ratonga ki te iwi, Ratonga
Tuku whenua," Gifted land; Land, Gifted", Tākoha; Utu; Whenua; Whenua tupuna, Mana whenua + Tikanga
Tukutuku, Lattice work, Kākaho, Raranga + Whare whakairo
Tūmatakōkiri, , Pahū; Pūkaea; Tūmatauenga, Atua
Tūmatauenga, , Aituā; Hōia; Mau rākau; Pakanga; Rākau ā Tū; Toa; Tūmatakōkiri, Atua
Tumu kōrero, Kairangahau onamata; Historians, Kōrero nehe; Pūrākau; Rangahau; Whakapapa, Kōrero
Tumutumu," Instruments, Percussion; Percussion instruments", Tōkere, Taonga pūoro
Tuna, Eels, , Ika
Tungāne, Brothers, , Whānau
Tūngauru, , , Waka
Tunu kai, Cookery; Cooking; Cooking methods, Hangarau kai, Kai
Tūpai, , , Atua
Tūpare, Leatherwoods, , Mauwha
Tupari maunga, , , Toetoe
Tūponotanga, Probability, Tatauranga, Pāngarau
Tūpuna, Tīpuna; Ancestors, Ingoa; Kaumātua; Koroua; Kuia; Mana tūpuna; Maunga; Whare tūpuna, Tāngata whenua
Tūrangawaewae, , Hauora whānau; Mana ake; Papakāinga; Taunahanahatanga; Tuakiri, Mana whenua
Ture, Laws, Mātauranga haratūtanga; Pāremata,
Ture hākinakina, Sports laws, , Ture
Ture hara, Criminal law, Mahi whakaauraki; Mauhere; Pūnaha ture taihara; Whare herehere, Ture
Ture kamupene, Company law, , Ture
Ture kaupapa, Constitutions, , Ture o te Kāwanatanga
Ture Kāwanatanga," Constitutional law; Law, Constitutional", , Ture kaupapa
Ture mahi-ā-iwi, Employment law, , Ture
Ture o te Kāwanatanga, Jurisprudence; Public law, Kōwhiringa pōti; Rōia, Ture
Ture putaiao, Environmental laws, , Ture
Ture putaiao-ā-iwi," Environmental laws, International; International environmental laws", , Ture
Ture rēti whare," Law, Tenancy; Tenancy law", Rēti whare, Ture
Ture tangata, Torts, , Ture
Ture tuku taonga, Equity (Law); Succession, , Ture
Ture whānau, Family law, , Ture
Ture whenua, Land laws, Hokohoko whenua; Whenua, Ture
Tūrepo," Milk trees; Trees, Milk", , Mauwha
Turi, Deaf; Hard of hearing, , Hauātanga
Turuhi," Short spears; Spears, Short", , Rākau ā Tū
Tutu (Mauwha), Pūpākihi; Tāweku, , Mauwha
Tutu papa, Tutu heuheu; Small leaved tutus, , Mauwha
Tutukiwi, Banks' greenhoods, , Otaota
Tūtunāwai," Swamp willow weeds; Willow weeds, Swamp", , Otaota waimāori
Tuturuatu," Plovers, Shore; Shore plovers", , Manu ki tātahi
Ua, Kōuaua; Rain, Āniwaniwa; Marangai, Āhua-o-te-rangi
Uenuku, Kahurangi; Kopere, Āniwaniwa; Ngā tae, Atua
Uhi ā Mataora, , , Toi Māori
Uira, Hiko (Āhua-o-te-rangi); Lightning, Hine-te-Uira, Āhua-o-te-rangi + Atua
Uirere," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Uiuitanga, Patapatai; Uiuinga; Interviewing; Interviews; Questioning (Interviews), Rangahau, Kaikawe kōrero + Kōrero
Ūkaipō, Breastfeeding, , Whānau (Wāhine)
Uma," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Umanga, Business, Hua; Mana whakairo hinengaro; Pakihi; Rangahau Māori; Rūnanga ā-iwi; Tāpoi; Whakawhitiwhitinga kōrero, Ohaoha
Unaunahi, Carving patterns (Fish scales), , Whakairo
Ūnga waka, Ūranga waka; Landfalls of the great fleet, Tauranga (Waka), Waka
Ūpoko (Paipera Tapu)," Bible, Books of the; Books of the Bible", Kāwenata Hou; Kāwenata Tawhito, Paipera Tapu
Ūpokohue," Pilot whales; Whales, Pilot", , Wēra
Urupā, Burial grounds; Cemeteries, Tangihanga; Waharoa, Wāhi tapu
Utu," Costs; Justice, Māori; Justice, Traditional; Law, Māori; Māori justice; Māori law; Retribution", Hikutoto; Mākutu; Matenga; Muru; Tāngata; Taua muru; Tohunga mākutu; Tuku whenua, Pakanga + Tikanga tuku iho
Uwhi, Uhi pūtake; Uwhikāho; Yams, , Hua whenua + Otaota
Wae tāpoi, Tourists, , Tāpoi
Waerea, , , Karakia + Pōwhiri
Waeroa, Gnats; Mosquitos, , Aitanga pepeke
Waewae koukou," Waekahu; Club mosses; Mosses, Club", , Otaota
Wahaika, Rorehape; Wahangohi, , Rākau ā Tū
Wāhanga o te tau, Takiwā; Wā; Seasons, Āhua-o-te-rangi; Āhuarangi, Whānau mārama
Wahapū," Ngutuawa; Pūaha; Pūwaha; Whanga; Bays; Estuaries; Harbours; Mouths, River; River mouths", , Awa + Moana
Waharoa, Kūaha; Kūwaha; Tomokanga; Entrances to marae; Entrances to pā; Entrances to urupā; Gateway entrances, Marae; Tikanga; Urupā; Whakairo, Pā
Wāhi tapu," Sacred sites; Sites, Sacred", Tangihanga; Tapu; Whaipara tangata, Whenua
Wāhine, Wahine; Women, Hineahuone; Ira wahine; Mana wahine, Tāngata whenua
Wahine matua, , , Wāhine
Wai, Water, Awa kōpaka; Mana o te wai; Papatūānuku; Taniwha, Pūtaiao
Wai harakeke, , Pia mānuka, Harakeke + Rongoā
Wai honga, Nectars, , Kai + Wai
Wai kaihua, Rātā nectars, Pia mānuka; Wai kōrari, Rātā o Te Ika a Māui + Rātā Te Wai Pounamu + Wai honga
Wai kōrari, Ngongo kōrari; Flax nectars, Pia mānuka; Wai kaihua, Harakeke + Wai honga
Wai Māori, Fresh water, Wai tai, Wai
Wai ngārahu, Ngārahu; Ngārehu; Pigments, Tā moko (Tā ngira); Tā moko (Uhi); Wai whakataerangi, Wai
Wai rākau, Sap, , Wai
Wai tai, Seawater, Moana; Wai Māori, Wai
Wai tapu, , Karakia; Tapu, Wai
Wai tohu, Trademarks, , Mana whakairo hinengaro
Wai whakataerangi, , Wai ngārahu, Wai rākau
Waiariki," Hot springs; Springs, Hot; Springs, Thermal; Thermal springs", Puna waimāori, Wai
Waiata," Māori songs; Songs; Songs, Māori", Hopu reo; Kapa haka; Kōrero; Pūoro reo; Waiata tira, Mahi ā Rēhia + Reo Māori + Toi whakaari
Waiata ā ringa," Action songs; Songs, Action", Kapa haka, Waiata
Waiata aroha, Love songs (Longing); Songs of love (Longing), Waiata whaiāipo, Mōteatea
Waiata koroua," Chants, Traditional; Songs, Māori (Traditional); Traditional chants; Traditional Māori songs", Haka; Kaitito waiata, Waiata
Waiata tangi, Laments (Requiems); Requiems (Laments), Apakura; Maimai aroha, Mōteatea
Waiata tira," Choral songs; Songs, Choral", Waiata, Kapa haka
Waiata tohutohu," Instructional songs; Songs, Instructional", , Waiata
Waiata whaiāipo, Love songs (to a lover); Songs to a lover, Waiata aroha, Waiata koroua
Waihanga, Teaching methods, Anga; Whare pukapuka; Whare tukunga kōrero, Mātauranga
Waipuke, Floods, Tangaroa, Aituā (Taiao)
Wairangi, Mental illness, , Hauora hinengaro
Wairua, Spirits, Ao wairua; Atua; Paipera Tapu, Tikanga tuku iho
Wairua (Tā moko)," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Waituhi, Waituhi ā-Peita; Paintings, , Whakaahua
Waiū o kahukura," Sea spurges; Shore spurges; Spurges, Sea", , Otaota
Waka, Kā; Motokā; Boats; Canoes; Transportation; Vehicles, Hāereere awa; Haerenga; Haumaru ā-waka; Ingoa; Tauparapara; Tohunga kōkōrangi; Waka (Whakapapa),
Waka (Whakapapa)," Federation of tribes; Tribes, Federation of", Tāngata whenua; Waka, Whakapapa
Waka ama," Waka amatiatia; Canoes, Outrigger; Outrigger canoes", Ama; Hāereere awa; Haumaru ā-waka (Waka ama), Waka
Waka ātea, Spaceships, Ātea, Waka
Waka haumi, , Waka kōtore puni, Waka
Waka hourua," Canoes, Ocean-going; Ocean-going canoes", Pora; Waka taurua, Waka
Waka huia, Huia feather boxes, , Waka
Waka kererū," Bird traps; Traps, Bird; Trough traps for birds", Tāhere manu; Waka waituhi, Waka
Waka kōmaru, , Waka mamaru, Waka
Waka kōpako, , , Waka
Waka kōpiko tuaranga, Space shuttles, Mātauranga waka tuarangi, Waka tuarangi
Waka kōtore puni, , Waka haumi; Waka pātua, Waka
Waka mamaru, , Waka kōmaru, Waka
Waka pātua, , Waka kōtore puni; Waka tīwai, Waka
Waka tangata, , Waka taua, Waka
Waka taua," Pīnaku; Tāraro; Waka pītau; Waka toiera; Waka whakarei; Canoes, War; War canoes; Whaka pītau", Waka tangata, Waka
Waka taurua," Canoes, Deep sea fishing; Deep sea fishing canoes", Pora; Waka hourua, Waka
Waka tētē," Canoes, Fishing; Fishing canoes", , Waka
Waka tīwai, , Waka pātua, Waka
Waka toi," Arts, Contemporary; Contemporary arts", , Mahi toi
Waka tuarangi, Spacecraft, Mātauranga waka tuarangi, Waka
Waka tūpāpaku, Burial chests; Papa tūpāpaku, Tangihanga, Atamira + Matenga + Waka
Waka waituhi," Bird traps; Traps, Bird; Trough traps for birds", Tāhere manu; Waka kererū, Waka
Wānanga," Education, Traditional; Traditional education", Anga; Whare wānanga, Mātauranga
Wātene Māori," Māori wardens; Wardens, Māori", Rōpū Māori, Mahi tūao + Ratonga
Wehi, Awe; Awesomeness; Fear, , Aronganui
Weka, Woodhens, , Manu ngahere
Wēra, Whales, , Kararehe whāngote + Ngā uri o Tangaroa
Weri, Centipedes; Earwigs, , Aitanga pepeke
Wero, , , Pōwhiri
Wētā, , , Aitanga pepeke
Wetereo, Grammar; Syntax, , Reo Māori
Whai," Games, String; String games", , Rotarota + Whakaraka
Whai (Ika), Stingrays, , Ika waitai
Whaikōrero, Onetū; Oratory; Rhetoric; Speechmaking, Pūkōrero, Kōrero + Pōwhiri
Whaipara tangata, Mātai whaipara tangata; Archaeology, Kōiwi tangata; Papakāinga; Wāhi tapu, Pūtaiao
Whaitiri, Whatitiri; Thunder, Hiko, Āhua-o-te-rangi + Atua
Whaiwhai, Hunting, , Hākinakina
Whakaaetanga, Agreements; Contract law; Contracts, , Ture
Whakaahua," Pikitia; Images, Visual; Portraits; Visual images", Kiriata; Pakiwaituhi; Pouaka whakaata; Pukapuka whakaahua; Tā moko (Tā ngira), Waka toi
Whakaaotanga, Globalisation, Āhuatanga pāpori; Rangahau, Ōhanga
Whakaaturanga toi ataata," Art displays; Art exhibitions; Displays, Art; Exhibitions, Art", , Whakaahua + Whare taonga
Whakaeke, , , Kapa haka
Whakahaere kaimahi, Personnel management, , Mahi whakahaere
Whakahāwea iwi, Aukati iwi; Noho wehewehe ā-iwi; Whakatoihara iwi; Racism, Tāngata, Noho-ā-iwi
Whakahīhī, Arrogance; Pride; Vanity, , Hinengaro
Whakahua, Pronunciation, , Mātauranga wetereo
Whakairo, Carvings, Hunga mahi toi; Tā; Tohunga whakairo; Waharoa, Whare whakairo
Whakakai, Carving patterns; Jewellery, , Mahi toi
Whakamāori, Whakamārama; Whakamōhio; Whakawhiti reo; Translating; Translations, Reorua, Reo Māori
Whakamātau hinengaro, Psychology, , Hauora hinengaro
Whakamātau hinengaro taiohi," Whakamātau hinengaro rangatahi; Adolescent psychology, 12-16", Taiohi; Whakamātau hinengaro taitamariki; Whakamātau hinengaro tamariki, Whakamātau hinengaro
Whakamātau hinengaro taitamariki," Adolescent psychology, 16-21", Taitamariki; Whakamātau hinengaro taiohi, Whakamātau hinengaro
Whakamātau hinengaro tamariki," Child psychology, 5-12", Tamariki; Whakamātau hinengaro taiohi, Whakamātau hinengaro
Whakangā, Retirement, Tāngata; Whiwhinga mahi, Āhuatanga ōhanga
Whakaora reo," Language revitalisation; Language revival; Revitalisation, Language; Revival, Language", , Reo Māori
Whakaora tangata auheke," Hākinakina auheke; Life-saving, Surf; Surf life-saving", Eke ngaru; Kauhoe, Hākinakina + Haumarutanga
Whakapakari ā-iwi," Whakapakari ā-hapori; Community development; Development; Development, Community; Development, Tribal; Tribal development", Āhuatanga ōhanga; Āhuatanga pāpori; Ōhanga whanaketanga; Ora; Rangahau Māori; Ratonga ki te iwi; Rūnanga ā-iwi, Iwi + Tino rangatiratanga
Whakapapa," Family history; Genealogy; History, Family; Kinship; Relationships; Wakapapa", Atua; Hauora whānau; Kōrero taumata; Mana; Mana atua; Mana tūpuna; Māoritanga; Maunga; Ōrokohanga o te ao; Tamāhine; Tāngata; Taumau; Tumu kōrero; Whanaungatanga; Whenua,
Whakapau wā, Time management, , Mahi whakahaere
Whakapono, Creeds; Religion; Religious beliefs, Ao wairua; Karakia,
Whakaputa pukapuka, Publishing, Ahumahi; Tā tuhi, Kōrero
Whakaraka, Games (Traditional), Kapa haka; Rotarota; Tākaro, Mahi ā Rēhia
Whakarato hokohoko kai, Catering, , Hokohoko
Whakaritenga whakahaere, Performance management, , Mahi whakahaere
Whakataetae, Competitive activities, , Tākaro
Whakataetae-a-waka, Canoe racing, , Waka + Whakataetae
Whakataetae hōiho," Equestrian events; Equestrianism; Events, Equestrian; Gymkhanas", , Eke hōiho + Hākinakina
Whakataetae manu kōrero," Secondary school speech contests; Speech contests, Secondary school", Wharekura, Whakataetae whaikōrero
Whakataetae whaikōrero, Speech contests, , Whaikōrero + Whakataetae
Whakataka, Hokataka; Whakatata; Chatham Islands Corokia, , Mauwha
Whakatakoto tūpāpaku, , , Tangihanga
Whakatara," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Whakatau, , , Kawa
Whakatau mauri, Bargaining; Dispute resolution; Settlements, Hara; Kerēme (Tiriti o Waitangi); Muru; Tāngata; Whakatau take, Tikanga
Whakatau take, Dispute resolution laws; Disputes; Marae justice; Settlements (General), Muru; Whakatau mauri, Mahi whakaauraki + Ture
Whakatauākī," Metaphorical sayings; Proverbs; Sayings, Metaphorical", Kīrehu; Kīwaha; Pepeha; Whakataukī, Kōrero
Whakataukī," Metaphorical sayings; Proverbs; Sayings, Metaphorical", Kīrehu; Kīwaha; Pepeha; Whakatauākī, Kōrero
Whakatere waka hourua," Navigation, Ocean; Ocean navigation", Tātai arorangi, Waka hourua
Whakawae, , , Whare whakairo
Whakawātea, , , Kapa haka
Whakawetitanga, Hawene; Bullying, , Kanga + Tūkinotanga
Whakawhiti huarahi," Crossing roads; Roads, Crossing", , Haumaru huarahi
Whakawhitiwhitinga kōrero, Communication, Umanga, Kōrero
Whanake taiao," Environmental sustainability; Sustainability, Environmental", Kaitiakitanga, Taiao
Whanaketanga, Evolution, , Pūtaiao
Whānau, Family, Ako; Hapori whānau; Hui-ā-whānau; Ingoa; Kōtiro; Rā whānau; Tāngata whenua; Whanaungatanga, Hapū + Tāngata
Whānau (Wāhine), Birth, , Hapū (Wāhine)
Whānau mārama, Whānau ariki; Whānau puhi ariki; Whānau puni; Heavenly bodies; Solar system, Mahere whetū; Matariki; Pūtaiao; Tohunga kōkōrangi, Ātea
Whānau pani," Kirimate; Bereaved family; Family, Bereaved; Family, Grieving; Grieving family", Kawe mate, Tangihanga
Whanaungatanga," Family relationships; Friendships; Kinship; Relationships, Family", Tāngata; Whakapapa; Whānau, Hauora whānau + Tikanga tuku iho
Whāngai, Mātua whāngai; Adoption, Atawhai; Mana tiaki tamariki, Whanaungatanga
Whanonga, Behaviour; Conduct, , Hinengaro
Whara, , Aka; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru, Te Wao nui a Tāne
Whare, Buildings, Ingoa; Ruakapanga; Tānemāhuta, Papakāinga
Whare herehere, Jails; Prisons, Hara; Mātauranga haratūtanga; Ture hara, Pūnaha ture taihara + Whare
Whare hui," Houses, Meeting; Meeting houses", Whare nui, Whare
Whare kai," Whare o Rongo; Dining rooms; Rooms, Dining", , Whare
Whare karakia, Churches, Mīhana, Whakapono + Whare
Whare mate, , , Whare
Whare noho, Dwellings; Housing, Papakāinga, Whare
Whare nui," Houses, Large meeting; Meeting houses; Meeting houses (large)", Whare hui, Whare
Whare pora, House of weaving; Weaving house, , Whare
Whare pukapuka, Pātaka kōrero; Pātaka pukapuka; Puna mātauranga; Puna maumahara; Whare mātauranga; Information services; Libraries, Ratonga; Waihanga; Whare taonga; Whare tukunga kōrero, Kōrero + Rangahau
Whare tangata, Kōpū; Uterus; Womb, Te Awa Atua; Tinana, Wāhine
Whare taonga, Museums, Whare pukapuka; Whare tukunga kōrero, Whare
Whare tukunga kōrero, Archives, Ratonga; Waihanga; Whare pukapuka; Whare taonga, Kōrero + Rangahau
Whare tūpuna," Houses, Meeting; Meeting houses", Tūpuna, Whare
Whare waka, , , Whare
Whare wānanga, Houses of learning (Traditional); Universities; Whare pūrākau, Ako; Kura tuatoru; Pūkengatanga; Tohunga; Wānanga, Waihanga + Whare
Whare whakaaturanga kīrehe," Animal enclosures; Enclosures, Animal; Parks, Wildlife; Wildlife parks; Zoos", Kararehe, Whare
Whare whakairo," Houses, Meeting; Meeting houses", Kōwhaiwhai; Tā, Whare
Wharekohu, , , Rākau whakauru
Wharekura," Schools, Secondary (Māori); Secondary schools (Māori)", Ako; Kura tuarua; Pūkengatanga; Taiohi; Whakataetae manu kōrero, Waihanga + Whare
Wharepuni," Whare puni; Houses, Meeting; Meeting houses", , Whare
Whāriki," Mats, Woven; Woven mats", , Raranga + Whare whakairo
Whāriki mo te mahau, , , Whāriki
Whāriki mo te papa i roto i te whare, , , Whāriki
Whāriki whakairo," Mats, Patterned", , Whāriki
Whāriki wharanui," Ceremonial mats; Mats, Ceremonial", , Whāriki
Wharua, Lattice work patterns, , Tukutuku
Whatu, Weaving, , Raranga
Whatu kākahu, , Raranga, Kākahu
Whau, Hauama; Whauama, , Rākau whakauru
Whekau," Laughing owls; Owls, Laughing", , Manu ngahere + Manu ngaro
Wheke, Octopuses, , Ngā uri o Tangaroa
Whekī," Pēhiakura; Rough treeferns; Treeferns, Rough", , Rākau whakaruruhau
Whekī ponga, Kuranui pākao; Kurīpākā; Tūkirunga; Whekī kohunga; Treeferns, , Rākau whakaruruhau
Whenua, Land; Wenua, Iwi; Kaitiaki (Whenua); Maunga; Ōhākī; Papatūānuku; Pepeha; Pūngao ngāwhā; Rāhui; Tāngata whenua; Tiakitanga; Tuku whenua; Ture whenua; Whakapapa, Pūtaiao
Whenua (Wāhine), Placenta, Hauora whānau; Papatūānuku, Wāhine
Whenua rāhui," Conservation, Land; Land conservation", Aukati; Kaitiakitanga; Mana whenua, Rāhui + Whenua
Whenua raupatu," Confiscation, Land; Disputes, Land; Land confiscation; Land disputes", Muru whenua; Raupatu; Ringa kaha; Tiriti o Waitangi; Whenua tautohetohe, Whenua
Whenua tautohetohe," Disputed land; Land, Disputed", Hokohoko whenua; Mana whenua; Muru whenua; Tautohetohe; Tiriti o Waitangi; Whenua raupatu, Whenua
Whenua tupuna," Whenua tuko iho; Entitlements, Land; Land entitlements; Land succession; Wenua tupuna; Whenua tipuna", Ahi kā; Papakāinga; Tuku whenua, Mana whenua
Whērangi, Rangipō; Uranus, , Whetū kōkori
Whetū, Rā riki; Whānau riki; Stars, Tātai whetū, Whānau mārama
Whetū kōkori, Aō ātea; Aō rangi; Whetū aō; Planets, , Whānau mārama
Wheuwheu, Sphagnum mosses, , Pūkohu
Whio," Korowhio; Whiorau; Blue ducks; Ducks, Blue; Ducks, Whistling; Whistling ducks", , Manu waimāori
Whiri o raukatauri," Club mosses; Mosses, Club", , Otaota hāwere
Whiro, Pluto, , Whetū kōkori
Whiwhinga mahi, Whai mahinga; Whakawhiwhi mahi; Whiwhi mahi; Employment; Jobs, Ahumahi; Koremahi; Whakangā, Āhuatanga ōhanga
Whutupōro, Hutupōro; Putupaoro; Putupōro; Rugby Union football; Whutupāoro, Karapu whutupōro, Hākinakina
Wiki o te reo Māori, Māori language week, , Reo Māori
Winika, , , Otaota hāwere
Wiri, , Hine-Raumati; Hine-Takurua; Tāne-Rore, Waiata ā ringa
Wīwī," Rushes, Small; Small rushes", , Whara
Wīwī (Tauiwi), French culture; French people, , Tauiwi
